"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200912_20200926.csv"
"C","Report for: 09/12/2020 - 09/26/2020"
"C","Report generated: 06/18/2021 11:45:38 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","09/12/2020","01",10290.86
"D","09/12/2020","02",10038.63
"D","09/12/2020","03",9954.71
"D","09/12/2020","04",10015.78
"D","09/12/2020","05",10035.83
"D","09/12/2020","06",10208.57
"D","09/12/2020","07",10566.25
"D","09/12/2020","08",10854.98
"D","09/12/2020","09",10721.29
"D","09/12/2020","10",10628.46
"D","09/12/2020","11",10362.36
"D","09/12/2020","12",10481.8
"D","09/12/2020","13",10497.42
"D","09/12/2020","14",10470.52
"D","09/12/2020","15",10545.81
"D","09/12/2020","16",10968.63
"D","09/12/2020","17",11798.8
"D","09/12/2020","18",12575.17
"D","09/12/2020","19",12960.61
"D","09/12/2020","20",13104.07
"D","09/12/2020","21",12667.82
"D","09/12/2020","22",11929.16
"D","09/12/2020","23",11108.34
"D","09/12/2020","24",10284.24
"D","09/13/2020","01",9666.53
"D","09/13/2020","02",9468.31
"D","09/13/2020","03",9495.48
"D","09/13/2020","04",9392.53
"D","09/13/2020","05",9400.08
"D","09/13/2020","06",9559.07
"D","09/13/2020","07",9627.37
"D","09/13/2020","08",9818.47
"D","09/13/2020","09",10068.04
"D","09/13/2020","10",10321.8
"D","09/13/2020","11",10500.42
"D","09/13/2020","12",10710.33
"D","09/13/2020","13",11014.88
"D","09/13/2020","14",11197.75
"D","09/13/2020","15",11539.01
"D","09/13/2020","16",12053.59
"D","09/13/2020","17",12870.14
"D","09/13/2020","18",13699.76
"D","09/13/2020","19",14085.73
"D","09/13/2020","20",14265.62
"D","09/13/2020","21",13882.23
"D","09/13/2020","22",13077.71
"D","09/13/2020","23",12164.64
"D","09/13/2020","24",11581.58
"D","09/14/2020","01",11011.28
"D","09/14/2020","02",10622.68
"D","09/14/2020","03",10439.31
"D","09/14/2020","04",10402.37
"D","09/14/2020","05",10687.14
"D","09/14/2020","06",11246.47
"D","09/14/2020","07",12352.4
"D","09/14/2020","08",13242.69
"D","09/14/2020","09",13575.34
"D","09/14/2020","10",13485.84
"D","09/14/2020","11",13286.01
"D","09/14/2020","12",13183.85
"D","09/14/2020","13",13250.88
"D","09/14/2020","14",13301.59
"D","09/14/2020","15",13410.1
"D","09/14/2020","16",13739.83
"D","09/14/2020","17",14296.11
"D","09/14/2020","18",14794.34
"D","09/14/2020","19",14815.03
"D","09/14/2020","20",14737.9
"D","09/14/2020","21",13950.88
"D","09/14/2020","22",12864.01
"D","09/14/2020","23",11660.72
"D","09/14/2020","24",10630.81
"D","09/15/2020","01",10209.96
"D","09/15/2020","02",9996.46
"D","09/15/2020","03",9990.05
"D","09/15/2020","04",9917.37
"D","09/15/2020","05",9837.99
"D","09/15/2020","06",10083.25
"D","09/15/2020","07",11188.02
"D","09/15/2020","08",11973.87
"D","09/15/2020","09",12131.19
"D","09/15/2020","10",11786.47
"D","09/15/2020","11",11418.6
"D","09/15/2020","12",11252.73
"D","09/15/2020","13",11258.11
"D","09/15/2020","14",11379.72
"D","09/15/2020","15",11393.3
"D","09/15/2020","16",11776.27
"D","09/15/2020","17",12648.76
"D","09/15/2020","18",13378.93
"D","09/15/2020","19",13791.84
"D","09/15/2020","20",13956.11
"D","09/15/2020","21",13295.05
"D","09/15/2020","22",12320.1
"D","09/15/2020","23",11230.59
"D","09/15/2020","24",10272.05
"D","09/16/2020","01",9933.32
"D","09/16/2020","02",9747.73
"D","09/16/2020","03",9602.44
"D","09/16/2020","04",9550.1
"D","09/16/2020","05",9777.28
"D","09/16/2020","06",10263.09
"D","09/16/2020","07",11173.7
"D","09/16/2020","08",12048.45
"D","09/16/2020","09",12240.86
"D","09/16/2020","10",11962.61
"D","09/16/2020","11",11785.91
"D","09/16/2020","12",11669.51
"D","09/16/2020","13",11644.24
"D","09/16/2020","14",11758.26
"D","09/16/2020","15",12034.24
"D","09/16/2020","16",12470.77
"D","09/16/2020","17",13143.92
"D","09/16/2020","18",13844.38
"D","09/16/2020","19",14166.37
"D","09/16/2020","20",14333.59
"D","09/16/2020","21",13728.08
"D","09/16/2020","22",12790.76
"D","09/16/2020","23",11723.79
"D","09/16/2020","24",10933.21
"D","09/17/2020","01",10555.54
"D","09/17/2020","02",10210.99
"D","09/17/2020","03",10270.03
"D","09/17/2020","04",10215.91
"D","09/17/2020","05",10396.21
"D","09/17/2020","06",10684.39
"D","09/17/2020","07",11485.56
"D","09/17/2020","08",12348.44
"D","09/17/2020","09",12673.36
"D","09/17/2020","10",12643.42
"D","09/17/2020","11",12595.81
"D","09/17/2020","12",12705.24
"D","09/17/2020","13",12874.08
"D","09/17/2020","14",13152.54
"D","09/17/2020","15",13566.15
"D","09/17/2020","16",13913.04
"D","09/17/2020","17",14288.42
"D","09/17/2020","18",14694.99
"D","09/17/2020","19",14903.88
"D","09/17/2020","20",14969.17
"D","09/17/2020","21",14313.14
"D","09/17/2020","22",13352.58
"D","09/17/2020","23",12224.78
"D","09/17/2020","24",11185.44
"D","09/18/2020","01",10462.3
"D","09/18/2020","02",10248.11
"D","09/18/2020","03",9973.87
"D","09/18/2020","04",9856.92
"D","09/18/2020","05",9996.6
"D","09/18/2020","06",10356.66
"D","09/18/2020","07",11522.46
"D","09/18/2020","08",12439.95
"D","09/18/2020","09",12774.57
"D","09/18/2020","10",12789.91
"D","09/18/2020","11",12725.5
"D","09/18/2020","12",12612.21
"D","09/18/2020","13",12411.57
"D","09/18/2020","14",12069.55
"D","09/18/2020","15",11811.59
"D","09/18/2020","16",11986.69
"D","09/18/2020","17",12467.35
"D","09/18/2020","18",13062.15
"D","09/18/2020","19",13329.29
"D","09/18/2020","20",13424.81
"D","09/18/2020","21",12863.47
"D","09/18/2020","22",12087.95
"D","09/18/2020","23",11160.01
"D","09/18/2020","24",10266.14
"D","09/19/2020","01",9583.76
"D","09/19/2020","02",9390.51
"D","09/19/2020","03",9190.98
"D","09/19/2020","04",9086.06
"D","09/19/2020","05",9143.55
"D","09/19/2020","06",9437.87
"D","09/19/2020","07",9972.63
"D","09/19/2020","08",10114.02
"D","09/19/2020","09",10194.67
"D","09/19/2020","10",9907.45
"D","09/19/2020","11",9572.44
"D","09/19/2020","12",9663.63
"D","09/19/2020","13",9988.4
"D","09/19/2020","14",9968.3
"D","09/19/2020","15",10277.31
"D","09/19/2020","16",10631.81
"D","09/19/2020","17",10859.86
"D","09/19/2020","18",11619.15
"D","09/19/2020","19",12276.98
