"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200614_20200628.csv"
"C","Report for: 06/14/2020 - 06/28/2020"
"C","Report generated: 06/18/2021 11:44:34 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/14/2020","01",9877.71
"D","06/14/2020","02",9131.18
"D","06/14/2020","03",8804.91
"D","06/14/2020","04",8638.27
"D","06/14/2020","05",8604.13
"D","06/14/2020","06",8792.51
"D","06/14/2020","07",8951.62
"D","06/14/2020","08",9326.03
"D","06/14/2020","09",9552.86
"D","06/14/2020","10",9520.52
"D","06/14/2020","11",9672.12
"D","06/14/2020","12",9870.16
"D","06/14/2020","13",10001.53
"D","06/14/2020","14",10179.96
"D","06/14/2020","15",10326.62
"D","06/14/2020","16",10607.14
"D","06/14/2020","17",11243.7
"D","06/14/2020","18",12170.79
"D","06/14/2020","19",12680.36
"D","06/14/2020","20",12682.29
"D","06/14/2020","21",12588.76
"D","06/14/2020","22",12202.57
"D","06/14/2020","23",11268.0
"D","06/14/2020","24",10319.55
"D","06/15/2020","01",9916.64
"D","06/15/2020","02",9478.4
"D","06/15/2020","03",9469.49
"D","06/15/2020","04",9436.06
"D","06/15/2020","05",9616.18
"D","06/15/2020","06",9843.33
"D","06/15/2020","07",10510.8
"D","06/15/2020","08",11156.41
"D","06/15/2020","09",11470.62
"D","06/15/2020","10",11421.92
"D","06/15/2020","11",11458.74
"D","06/15/2020","12",11658.16
"D","06/15/2020","13",12011.77
"D","06/15/2020","14",12351.33
"D","06/15/2020","15",12461.89
"D","06/15/2020","16",12574.45
"D","06/15/2020","17",12917.49
"D","06/15/2020","18",13499.52
"D","06/15/2020","19",13814.87
"D","06/15/2020","20",13676.9
"D","06/15/2020","21",13442.51
"D","06/15/2020","22",12971.73
"D","06/15/2020","23",11886.2
"D","06/15/2020","24",10863.11
"D","06/16/2020","01",10461.49
"D","06/16/2020","02",10295.95
"D","06/16/2020","03",10264.21
"D","06/16/2020","04",10191.65
"D","06/16/2020","05",10080.83
"D","06/16/2020","06",10432.61
"D","06/16/2020","07",10811.03
"D","06/16/2020","08",11479.57
"D","06/16/2020","09",11812.14
"D","06/16/2020","10",11848.39
"D","06/16/2020","11",11901.42
"D","06/16/2020","12",12049.17
"D","06/16/2020","13",12000.63
"D","06/16/2020","14",12261.18
"D","06/16/2020","15",12481.76
"D","06/16/2020","16",12916.44
"D","06/16/2020","17",13608.81
"D","06/16/2020","18",14457.62
"D","06/16/2020","19",14846.73
"D","06/16/2020","20",14602.83
"D","06/16/2020","21",14145.33
"D","06/16/2020","22",13595.16
"D","06/16/2020","23",12447.28
"D","06/16/2020","24",11265.97
"D","06/17/2020","01",10415.57
"D","06/17/2020","02",10047.59
"D","06/17/2020","03",9977.3
"D","06/17/2020","04",9842.81
"D","06/17/2020","05",9706.75
"D","06/17/2020","06",10097.24
"D","06/17/2020","07",10922.58
"D","06/17/2020","08",11682.07
"D","06/17/2020","09",12088.89
"D","06/17/2020","10",12006.57
"D","06/17/2020","11",12118.79
"D","06/17/2020","12",12419.03
"D","06/17/2020","13",12752.42
"D","06/17/2020","14",13160.73
"D","06/17/2020","15",13580.7
"D","06/17/2020","16",14163.93
"D","06/17/2020","17",15006.84
"D","06/17/2020","18",15915.73
"D","06/17/2020","19",16292.26
"D","06/17/2020","20",15976.94
"D","06/17/2020","21",15412.25
"D","06/17/2020","22",14845.15
"D","06/17/2020","23",13642.35
"D","06/17/2020","24",12512.39
