"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200530_20200613.csv"
"C","Report for: 05/30/2020 - 06/13/2020"
"C","Report generated: 06/18/2021 11:44:23 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/30/2020","01",11679.21
"D","05/30/2020","02",11051.03
"D","05/30/2020","03",10810.12
"D","05/30/2020","04",11077.42
"D","05/30/2020","05",11083.53
"D","05/30/2020","06",11300.69
"D","05/30/2020","07",11290.68
"D","05/30/2020","08",11415.42
"D","05/30/2020","09",11574.03
"D","05/30/2020","10",11980.73
"D","05/30/2020","11",12202.88
"D","05/30/2020","12",12395.36
"D","05/30/2020","13",12516.9
"D","05/30/2020","14",12363.52
"D","05/30/2020","15",12397.79
"D","05/30/2020","16",12767.99
"D","05/30/2020","17",13408.05
"D","05/30/2020","18",14333.88
"D","05/30/2020","19",14749.07
"D","05/30/2020","20",14486.66
"D","05/30/2020","21",14096.68
"D","05/30/2020","22",13552.59
"D","05/30/2020","23",12488.74
"D","05/30/2020","24",11455.86
"D","05/31/2020","01",10600.13
"D","05/31/2020","02",9993.62
"D","05/31/2020","03",10236.88
"D","05/31/2020","04",10132.25
"D","05/31/2020","05",9987.79
"D","05/31/2020","06",9849.34
"D","05/31/2020","07",9671.74
"D","05/31/2020","08",9412.26
"D","05/31/2020","09",9411.74
"D","05/31/2020","10",9411.55
"D","05/31/2020","11",9620.18
"D","05/31/2020","12",10083.42
"D","05/31/2020","13",10183.85
"D","05/31/2020","14",10232.23
"D","05/31/2020","15",9867.2
"D","05/31/2020","16",10206.4
"D","05/31/2020","17",10932.82
"D","05/31/2020","18",11527.83
"D","05/31/2020","19",11992.78
"D","05/31/2020","20",12045.42
"D","05/31/2020","21",11995.38
"D","05/31/2020","22",11552.99
"D","05/31/2020","23",10667.05
"D","05/31/2020","24",9819.31
"D","06/01/2020","01",9203.81
"D","06/01/2020","02",8753.76
"D","06/01/2020","03",8537.74
"D","06/01/2020","04",8503.66
"D","06/01/2020","05",8727.25
"D","06/01/2020","06",9201.81
"D","06/01/2020","07",9976.73
"D","06/01/2020","08",10468.43
"D","06/01/2020","09",10526.3
"D","06/01/2020","10",10424.72
"D","06/01/2020","11",10538.42
"D","06/01/2020","12",10896.99
"D","06/01/2020","13",11146.14
"D","06/01/2020","14",11140.56
"D","06/01/2020","15",11058.8
"D","06/01/2020","16",11113.94
"D","06/01/2020","17",11505.34
"D","06/01/2020","18",12328.85
"D","06/01/2020","19",12651.33
"D","06/01/2020","20",12527.28
"D","06/01/2020","21",12418.83
"D","06/01/2020","22",11886.81
"D","06/01/2020","23",10947.45
