"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20201027_20201109.csv"
"C","Report for: 10/27/2020 - 11/09/2020"
"C","Report generated: 06/18/2021 11:46:08 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/27/2020","01",10355.49
"D","10/27/2020","02",10129.55
"D","10/27/2020","03",10053.89
"D","10/27/2020","04",10006.4
"D","10/27/2020","05",10245.22
"D","10/27/2020","06",10483.4
"D","10/27/2020","07",11580.3
"D","10/27/2020","08",12742.38
"D","10/27/2020","09",13289.43
"D","10/27/2020","10",13345.77
"D","10/27/2020","11",13172.09
"D","10/27/2020","12",12780.74
"D","10/27/2020","13",12429.42
"D","10/27/2020","14",11968.54
"D","10/27/2020","15",11960.55
"D","10/27/2020","16",12539.26
"D","10/27/2020","17",13162.01
"D","10/27/2020","18",14107.35
"D","10/27/2020","19",14544.73
"D","10/27/2020","20",14065.61
"D","10/27/2020","21",13357.69
"D","10/27/2020","22",12517.7
"D","10/27/2020","23",11696.59
"D","10/27/2020","24",10803.15
"D","10/28/2020","01",10190.19
"D","10/28/2020","02",10058.03
"D","10/28/2020","03",10122.96
"D","10/28/2020","04",10116.32
"D","10/28/2020","05",10135.57
"D","10/28/2020","06",10810.76
"D","10/28/2020","07",11822.32
"D","10/28/2020","08",13015.1
"D","10/28/2020","09",13684.96
"D","10/28/2020","10",13961.24
"D","10/28/2020","11",14154.36
"D","10/28/2020","12",14217.04
"D","10/28/2020","13",14224.32
"D","10/28/2020","14",14041.62
"D","10/28/2020","15",13807.19
"D","10/28/2020","16",13764.96
"D","10/28/2020","17",14006.98
"D","10/28/2020","18",14605.66
"D","10/28/2020","19",14834.47
"D","10/28/2020","20",14296.03
"D","10/28/2020","21",13550.82
"D","10/28/2020","22",12668.5
"D","10/28/2020","23",11883.14
"D","10/28/2020","24",11239.47
"D","10/29/2020","01",10816.72
"D","10/29/2020","02",10425.44
"D","10/29/2020","03",10223.7
"D","10/29/2020","04",10205.78
"D","10/29/2020","05",10472.83
"D","10/29/2020","06",11269.6
"D","10/29/2020","07",12626.32
"D","10/29/2020","08",13309.98
"D","10/29/2020","09",13626.76
"D","10/29/2020","10",13889.42
"D","10/29/2020","11",14093.74
"D","10/29/2020","12",14222.91
"D","10/29/2020","13",14286.13
"D","10/29/2020","14",14248.52
"D","10/29/2020","15",14165.05
"D","10/29/2020","16",14180.31
"D","10/29/2020","17",14440.82
"D","10/29/2020","18",14975.16
"D","10/29/2020","19",15023.56
"D","10/29/2020","20",14620.19
"D","10/29/2020","21",13899.8
"D","10/29/2020","22",13071.7
"D","10/29/2020","23",12195.5
"D","10/29/2020","24",11262.65
"D","10/30/2020","01",11058.83
"D","10/30/2020","02",10774.19
"D","10/30/2020","03",10595.98
"D","10/30/2020","04",10606.18
"D","10/30/2020","05",10882.92
"D","10/30/2020","06",11594.33
"D","10/30/2020","07",12411.69
"D","10/30/2020","08",13880.4
"D","10/30/2020","09",14557.92
"D","10/30/2020","10",15024.22
"D","10/30/2020","11",15306.26
"D","10/30/2020","12",15433.87
"D","10/30/2020","13",15343.55
"D","10/30/2020","14",15201.71
"D","10/30/2020","15",14930.39
"D","10/30/2020","16",14680.61
"D","10/30/2020","17",14739.71
"D","10/30/2020","18",15142.14
"D","10/30/2020","19",15500.64
"D","10/30/2020","21",14541.35
"D","10/30/2020","21",14541.35
"D","10/30/2020","22",13785.46
"D","10/30/2020","23",13022.6
"D","10/30/2020","24",12248.23
"D","10/31/2020","01",11390.82
"D","10/31/2020","02",11296.41
"D","10/31/2020","03",11331.24
"D","10/31/2020","04",11287.22
"D","10/31/2020","05",11404.94
"D","10/31/2020","06",11652.33
"D","10/31/2020","07",11926.18
"D","10/31/2020","08",12678.42
"D","10/31/2020","09",13305.38
"D","10/31/2020","10",13395.48
"D","10/31/2020","11",13156.84
"D","10/31/2020","12",12674.4
"D","10/31/2020","13",12096.72
"D","10/31/2020","14",11604.26
"D","10/31/2020","15",11372.58
"D","10/31/2020","16",11659.5
"D","10/31/2020","17",12522.47
"D","10/31/2020","18",13510.07
"D","10/31/2020","19",14073.93
"D","10/31/2020","20",13827.94
"D","10/31/2020","21",13448.46
"D","10/31/2020","22",12915.67
"D","10/31/2020","23",12200.55
"D","10/31/2020","24",11479.42
"D","11/01/2020","01",10915.42
"D","11/01/2020","02",10829.4
"D","11/01/2020","02X",10913.19
"D","11/01/2020","03",11119.81
"D","11/01/2020","04",11135.86
"D","11/01/2020","05",10966.81
"D","11/01/2020","06",11030.94
"D","11/01/2020","07",11262.19
"D","11/01/2020","08",11451.03
"D","11/01/2020","09",11865.21
"D","11/01/2020","10",12117.14
"D","11/01/2020","11",12346.36
"D","11/01/2020","12",12432.7
"D","11/01/2020","13",12587.09
"D","11/01/2020","14",12910.17
"D","11/01/2020","15",13259.23
"D","11/01/2020","16",13542.7
"D","11/01/2020","17",14267.26
"D","11/01/2020","18",14681.96
"D","11/01/2020","19",14206.52
"D","11/01/2020","20",13517.24
"D","11/01/2020","21",12992.32
"D","11/01/2020","22",12178.94
"D","11/01/2020","23",11317.27
"D","11/01/2020","24",11001.8
"D","11/02/2020","01",10720.25
"D","11/02/2020","02",10497.11
"D","11/02/2020","03",10652.48
"D","11/02/2020","04",10708.17
"D","11/02/2020","05",11007.77
"D","11/02/2020","06",11839.89
"D","11/02/2020","07",12637.83
"D","11/02/2020","08",13366.76
"D","11/02/2020","09",13351.67
"D","11/02/2020","10",13370.05
"D","11/02/2020","11",13468.3
"D","11/02/2020","12",13528.64
"D","11/02/2020","13",13516.84
"D","11/02/2020","14",13285.91
"D","11/02/2020","15",13390.17
"D","11/02/2020","16",14098.64
"D","11/02/2020","17",15276.43
"D","11/02/2020","18",16323.71
"D","11/02/2020","19",16010.8
"D","11/02/2020","20",15409.91
"D","11/02/2020","21",14614.27
"D","11/02/2020","22",13669.7
"D","11/02/2020","23",12609.16
"D","11/02/2020","24",11736.35
"D","11/03/2020","01",11544.53
"D","11/03/2020","02",11305.94
"D","11/03/2020","03",11126.09
"D","11/03/2020","04",11116.71
"D","11/03/2020","05",11436.89
"D","11/03/2020","06",12066.05
"D","11/03/2020","07",12999.96
"D","11/03/2020","08",13799.33
"D","11/03/2020","09",13715.14
"D","11/03/2020","10",13391.11
"D","11/03/2020","11",12954.86
"D","11/03/2020","12",12635.56
"D","11/03/2020","13",12550.18
"D","11/03/2020","14",12889.45
"D","11/03/2020","15",13172.54
"D","11/03/2020","16",13934.76
"D","11/03/2020","17",14970.17
"D","11/03/2020","18",15965.46
"D","11/03/2020","19",15774.3
"D","11/03/2020","20",15201.34
"D","11/03/2020","21",14507.72
"D","11/03/2020","22",13684.59
"D","11/03/2020","23",12708.14
"D","11/03/2020","24",11886.41
"D","11/04/2020","01",11531.61
"D","11/04/2020","02",11430.08
"D","11/04/2020","03",11507.38
"D","11/04/2020","04",11455.33
"D","11/04/2020","05",11479.89
"D","11/04/2020","06",11908.98
"D","11/04/2020","07",13166.3
"D","11/04/2020","08",13815.29
"D","11/04/2020","09",13343.05
"D","11/04/2020","10",12676.09
"D","11/04/2020","11",12233.66
"D","11/04/2020","12",12477.97
"D","11/04/2020","13",12474.16
"D","11/04/2020","14",12680.93
"D","11/04/2020","15",12805.26
"D","11/04/2020","16",13437.56
"D","11/04/2020","17",14266.96
"D","11/04/2020","18",15321.85
"D","11/04/2020","19",15024.54
"D","11/04/2020","20",14366.25
"D","11/04/2020","21",13609.25
"D","11/04/2020","22",12666.79
"D","11/04/2020","23",11878.5
"D","11/04/2020","24",11414.13
"D","11/05/2020","01",10716.61
"D","11/05/2020","02",10389.14
"D","11/05/2020","03",10234.15
"D","11/05/2020","04",10249.88
"D","11/05/2020","05",10555.5
"D","11/05/2020","06",11335.68
"D","11/05/2020","07",12155.89
"D","11/05/2020","08",12725.28
"D","11/05/2020","09",12496.08
"D","11/05/2020","10",12039.41
"D","11/05/2020","11",11773.42
"D","11/05/2020","12",11912.15
"D","11/05/2020","13",11978.8
"D","11/05/2020","14",12041.85
"D","11/05/2020","15",12540.66
"D","11/05/2020","16",12988.6
"D","11/05/2020","17",13868.12
"D","11/05/2020","18",14787.87
"D","11/05/2020","19",14503.51
"D","11/05/2020","20",13871.81
"D","11/05/2020","21",13165.4
"D","11/05/2020","22",12263.88
"D","11/05/2020","23",11434.53
"D","11/05/2020","24",11150.25
"D","11/06/2020","01",10886.32
"D","11/06/2020","02",10504.7
"D","11/06/2020","03",10061.81
"D","11/06/2020","04",10010.81
"D","11/06/2020","05",10153.16
"D","11/06/2020","06",10453.47
"D","11/06/2020","07",11474.38
"D","11/06/2020","08",12317.02
"D","11/06/2020","09",12470.74
"D","11/06/2020","10",12016.6
"D","11/06/2020","11",11530.46
"D","11/06/2020","12",11324.75
"D","11/06/2020","13",11332.57
"D","11/06/2020","14",11646.83
"D","11/06/2020","15",12124.52
"D","11/06/2020","16",12751.56
"D","11/06/2020","17",13442.28
"D","11/06/2020","18",14232.49
"D","11/06/2020","19",13874.12
"D","11/06/2020","20",13260.22
"D","11/06/2020","21",12599.4
"D","11/06/2020","22",11875.1
"D","11/06/2020","23",11020.76
"D","11/06/2020","24",10210.45
"D","11/07/2020","01",9653.77
"D","11/07/2020","02",9447.08
"D","11/07/2020","03",9334.25
"D","11/07/2020","04",9498.56
"D","11/07/2020","05",9625.28
"D","11/07/2020","06",9770.46
"D","11/07/2020","07",10307.25
"D","11/07/2020","08",10379.54
"D","11/07/2020","09",10382.25
"D","11/07/2020","10",10245.7
"D","11/07/2020","11",10416.93
"D","11/07/2020","12",10373.95
"D","11/07/2020","13",10479.44
"D","11/07/2020","14",10689.64
"D","11/07/2020","15",11017.84
"D","11/07/2020","16",11660.65
"D","11/07/2020","17",12546.34
"D","11/07/2020","18",13387.0
"D","11/07/2020","19",13098.71
"D","11/07/2020","20",12548.56
"D","11/07/2020","21",11908.58
"D","11/07/2020","22",11324.2
"D","11/07/2020","23",10815.2
"D","11/07/2020","24",10141.98
"D","11/08/2020","01",9594.85
"D","11/08/2020","02",9291.32
"D","11/08/2020","03",9326.89
"D","11/08/2020","04",9256.52
"D","11/08/2020","05",9331.28
"D","11/08/2020","06",9603.45
"D","11/08/2020","07",10041.4
"D","11/08/2020","08",10181.87
"D","11/08/2020","09",10172.13
"D","11/08/2020","10",10179.37
"D","11/08/2020","11",9716.29
"D","11/08/2020","12",9803.92
"D","11/08/2020","13",10012.95
"D","11/08/2020","14",10322.41
"D","11/08/2020","15",10877.07
"D","11/08/2020","16",11750.99
