temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
38.5,rain,0.89,3.063,Rain,30.51,1014.4,13.24,1.0,1546318800,131.0,0.1036,35.58,1.0
39.74,rain,0.91,4.038,Rain,33.48,1012.2,9.64,1.0,1546322400,145.0,0.0898,37.36,1.0
41.65,rain,0.88,4.019,Rain,36.58,1009.2,8.02,1.0,1546326000,131.0,0.0729,38.4,1.0
42.51,rain,0.91,7.951,Rain,36.85,1004.7,9.78,1.0,1546329600,132.0,0.0734,40.04,1.0
42.61,rain,0.92,3.86,Light Rain,38.9,1001.5,5.95,1.0,1546333200,135.0,0.0293,40.39,0.93
47.47,rain,0.96,3.12,Drizzle,43.64,999.3,8.11,1.0,1546336800,210.0,0.0035,46.26,0.85
49.22,rain,0.91,9.764,Light Rain,45.34,997.8,9.21,1.0,1546340400,221.0,0.0119,46.66,0.94
48.57,cloudy,0.93,7.27,Overcast,46.65,998.2,4.82,1.0,1546344000,237.0,0.0,46.5,0.0
53.77,partly-cloudy-day,0.81,9.718,Mostly Cloudy,53.77,998.1,12.75,0.73,1546347600,238.0,0.0,48.12,0.0
54.73,partly-cloudy-day,0.79,9.984,Mostly Cloudy,54.73,998.4,11.29,0.74,1546351200,242.0,0.0002,48.32,0.02
57.02,partly-cloudy-day,0.68,9.977,Mostly Cloudy,57.02,999.1,19.13,0.75,1546354800,259.0,0.0,46.55,0.0
56.67,partly-cloudy-day,0.67,9.984,Mostly Cloudy,56.67,1000.1,14.14,0.75,1546358400,265.0,0.0,45.76,0.0
55.63,clear-day,0.58,9.984,Clear,55.63,1001.4,15.07,0.21,1546362000,280.0,0.0015,40.9,0.15
54.39,clear-day,0.51,9.97,Clear,54.39,1003.0,19.73,0.2,1546365600,282.0,0.0,36.88,0.0
53.49,clear-day,0.48,9.984,Clear,53.49,1004.4,16.73,0.19,1546369200,289.0,0.0,34.24,0.0
51.24,partly-cloudy-day,0.44,9.975,Partly Cloudy,51.24,1006.6,18.11,0.43,1546372800,301.0,0.0,30.26,0.0
48.45,partly-cloudy-day,0.49,9.976,Partly Cloudy,41.98,1008.5,17.93,0.43,1546376400,313.0,0.0,30.0,0.0
45.32,partly-cloudy-night,0.52,9.976,Partly Cloudy,38.22,1010.7,16.67,0.41,1546380000,311.0,0.0,28.7,0.0
44.19,clear-night,0.54,9.976,Clear,37.35,1012.7,14.46,0.19,1546383600,317.0,0.0,28.4,0.0
42.13,clear-night,0.55,9.977,Clear,35.14,1014.1,13.13,0.19,1546387200,317.0,0.0,27.27,0.0
40.85,partly-cloudy-night,0.57,9.98,Partly Cloudy,33.89,1015.7,12.08,0.42,1546390800,311.0,0.0,26.97,0.0
39.03,partly-cloudy-night,0.56,9.981,Partly Cloudy,31.74,1016.9,11.69,0.44,1546394400,329.0,0.0,24.64,0.0
37.54,clear-night,0.55,9.981,Clear,30.86,1018.0,9.42,0.19,1546398000,324.0,0.0,22.82,0.0
35.66,clear-night,0.56,9.983,Clear,27.87,1018.8,10.86,0.18,1546401600,330.0,0.0,21.49,0.0
33.82,clear-night,0.53,9.984,Clear,26.22,1019.7,9.53,0.18,1546405200,330.0,0.0,18.48,0.0
32.84,clear-night,0.54,9.984,Clear,24.65,1020.7,10.24,0.0,1546408800,330.0,0.0,18.15,0.0
31.9,clear-night,0.52,9.984,Clear,22.79,1021.8,11.7,0.0,1546412400,313.0,0.0,16.33,0.0
30.03,clear-night,0.51,9.984,Clear,19.79,1022.4,13.16,0.18,1546416000,310.0,0.0,14.17,0.0
30.02,clear-night,0.49,9.984,Clear,21.39,1023.2,9.78,0.18,1546419600,310.0,0.0,13.22,0.0
28.73,partly-cloudy-night,0.5,9.984,Mostly Cloudy,18.19,1023.5,13.07,0.71,1546423200,319.0,0.0,12.35,0.0
28.62,partly-cloudy-night,0.48,9.984,Mostly Cloudy,19.21,1025.0,10.62,0.71,1546426800,319.0,0.0,11.45,0.0
28.14,partly-cloudy-night,0.47,9.984,Mostly Cloudy,18.37,1026.4,11.08,0.71,1546430400,330.0,0.0,10.52,0.0
28.17,partly-cloudy-day,0.43,9.984,Mostly Cloudy,19.09,1027.2,9.79,0.73,1546434000,331.0,0.0,8.73,0.0
29.67,clear-day,0.36,9.984,Clear,21.16,1027.7,9.41,0.21,1546437600,340.0,0.0,6.17,0.0
30.44,clear-day,0.34,9.98,Clear,24.1,1027.9,6.35,0.18,1546441200,345.0,0.0,5.11,0.0
32.15,partly-cloudy-day,0.29,9.975,Partly Cloudy,27.42,1027.2,4.81,0.41,1546444800,336.0,0.0,3.17,0.0
33.16,partly-cloudy-day,0.26,9.984,Mostly Cloudy,28.24,1026.6,5.23,0.71,1546448400,0.0,0.0,1.59,0.0
34.18,partly-cloudy-day,0.25,9.979,Mostly Cloudy,29.88,1026.6,4.73,0.71,1546452000,10.0,0.0,1.57,0.0
35.25,partly-cloudy-day,0.28,9.984,Mostly Cloudy,30.94,1026.3,4.95,0.71,1546455600,115.0,0.0,5.24,0.0
34.99,cloudy,0.29,9.984,Overcast,30.53,1026.0,5.07,0.94,1546459200,113.0,0.0,5.66,0.0
34.06,cloudy,0.32,9.982,Overcast,30.08,1025.8,4.37,0.94,1546462800,121.0,0.0,7.12,0.0
33.49,partly-cloudy-night,0.29,9.984,Mostly Cloudy,29.65,1025.6,4.15,0.71,1546466400,141.0,0.0,4.84,0.0
32.46,clear-night,0.38,9.984,Clear,25.89,1025.1,7.25,0.18,1546470000,139.0,0.0,9.69,0.0
30.57,clear-night,0.46,9.984,Clear,23.46,1025.8,7.46,0.18,1546473600,179.0,0.0,12.12,0.0
31.4,clear-night,0.49,9.984,Clear,23.95,1025.1,8.27,0.18,1546477200,167.0,0.0,14.37,0.0
31.01,clear-night,0.52,9.984,Clear,24.73,1024.0,6.42,0.18,1546480800,164.0,0.0,15.23,0.0
31.07,cloudy,0.55,9.984,Overcast,23.87,1022.9,7.74,0.94,1546484400,166.0,0.0,16.57,0.0
31.09,cloudy,0.58,9.984,Overcast,24.88,1022.4,6.33,0.94,1546488000,165.0,0.0,18.2,0.0
31.11,cloudy,0.65,9.983,Overcast,25.39,1021.9,5.72,0.98,1546491600,165.0,0.0,20.79,0.0
32.29,cloudy,0.68,9.982,Overcast,26.03,1020.4,6.73,1.0,1546495200,147.0,0.0,22.79,0.0
33.95,cloudy,0.68,9.982,Overcast,26.46,1018.5,9.37,1.0,1546498800,148.0,0.0,24.55,0.0
34.06,cloudy,0.69,9.978,Overcast,27.54,1017.5,7.69,1.0,1546502400,173.0,0.0,25.01,0.0
34.43,cloudy,0.73,9.031,Overcast,27.85,1014.8,7.93,1.0,1546506000,166.0,0.0,26.75,0.0
35.06,cloudy,0.73,9.968,Overcast,30.05,1013.3,5.77,1.0,1546509600,169.0,0.0,27.28,0.0
35.4,cloudy,0.76,9.984,Overcast,30.51,1011.9,5.69,1.0,1546513200,160.0,0.0,28.45,0.0
36.3,cloudy,0.76,9.937,Overcast,31.0,1011.7,6.51,1.0,1546516800,172.0,0.0,29.38,0.0
36.98,cloudy,0.79,8.746,Overcast,32.62,1011.6,5.39,1.0,1546520400,188.0,0.0,30.98,0.0
37.61,rain,0.82,8.959,Drizzle,32.99,1011.5,5.88,1.0,1546524000,223.0,0.0061,32.59,0.79
37.79,rain,0.84,9.973,Drizzle,34.21,1011.6,4.6,1.0,1546527600,299.0,0.0067,33.41,0.79
37.8,partly-cloudy-day,0.85,9.796,Mostly Cloudy,34.53,1010.7,4.25,0.65,1546531200,267.0,0.0,33.61,0.0
39.9,clear-day,0.77,9.68,Clear,35.72,1009.8,5.88,0.26,1546534800,271.0,0.0,33.3,0.0
44.04,partly-cloudy-day,0.61,9.969,Partly Cloudy,38.45,1009.4,10.53,0.45,1546538400,305.0,0.0,31.57,0.0
44.84,partly-cloudy-day,0.52,9.971,Mostly Cloudy,38.78,1009.6,12.47,0.74,1546542000,318.0,0.0,28.48,0.0
44.23,partly-cloudy-day,0.53,9.984,Partly Cloudy,37.05,1010.4,15.73,0.46,1546545600,300.0,0.0,28.36,0.0
43.95,partly-cloudy-day,0.52,9.975,Mostly Cloudy,37.96,1011.2,11.55,0.75,1546549200,305.0,0.0,27.43,0.0
42.7,partly-cloudy-night,0.54,9.975,Mostly Cloudy,36.56,1012.0,11.1,0.76,1546552800,294.0,0.0,27.28,0.0
40.84,partly-cloudy-night,0.55,9.977,Mostly Cloudy,34.93,1012.9,9.44,0.75,1546556400,301.0,0.0,25.85,0.0
39.91,partly-cloudy-night,0.58,9.976,Mostly Cloudy,33.96,1013.5,9.04,0.73,1546560000,295.0,0.0,26.21,0.0
39.06,partly-cloudy-night,0.58,9.976,Mostly Cloudy,33.36,1014.3,8.16,0.74,1546563600,294.0,0.0,25.32,0.0
37.98,partly-cloudy-night,0.57,9.976,Partly Cloudy,33.37,1014.6,5.98,0.45,1546567200,293.0,0.0,24.04,0.0
38.35,partly-cloudy-night,0.54,9.976,Partly Cloudy,33.36,1014.5,6.66,0.46,1546570800,279.0,0.0,23.09,0.0
