temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
12.65,clear-night,0.76,9.256,Clear,12.65,1020.1,0.42,0.0,1420088400,217.0,0.0,6.47,0.0
13.57,clear-night,0.76,9.262,Clear,13.57,1018.9,1.09,0.0,1420092000,225.0,0.0,7.38,0.0
15.51,clear-night,0.74,8.998,Clear,15.51,1018.5,1.04,0.09,1420095600,205.0,0.0,8.67,0.0
17.5,clear-night,0.69,9.033,Clear,17.5,1017.9,1.06,0.0,1420099200,223.0,0.0,9.16,0.0
17.2,clear-night,0.67,8.422,Clear,17.2,1017.0,2.34,0.28,1420102800,234.0,0.0,8.0,0.0
16.34,clear-night,0.69,8.765,Clear,16.34,1017.6,1.69,0.0,1420106400,241.0,0.0,7.91,0.0
16.45,clear-night,0.67,9.275,Clear,16.45,1018.0,1.35,0.0,1420110000,230.0,0.0,7.5,0.0
16.35,clear-night,0.66,9.273,Clear,16.35,1018.3,1.55,0.0,1420113600,219.0,0.0,7.12,0.0
17.66,clear-day,0.64,9.264,Clear,17.66,1018.7,1.69,0.0,1420117200,216.0,0.0,7.67,0.0
21.41,clear-day,0.58,9.303,Clear,21.41,1018.6,2.02,0.0,1420120800,215.0,0.0,9.03,0.0
24.95,clear-day,0.5,9.369,Clear,18.73,1018.6,5.06,0.0,1420124400,227.0,0.0,9.06,0.0
27.51,clear-day,0.45,9.397,Clear,23.3,1018.0,3.67,0.0,1420128000,235.0,0.0,8.79,0.0
29.47,clear-day,0.42,9.428,Clear,25.09,1016.9,4.06,0.0,1420131600,225.0,0.0006,9.34,0.09
30.61,clear-day,0.4,9.443,Clear,24.86,1015.6,5.65,0.0,1420135200,223.0,0.0003,9.39,0.09
31.17,clear-day,0.4,9.456,Clear,25.96,1014.2,5.15,0.0,1420138800,252.0,0.0,9.37,0.0
31.45,clear-day,0.39,9.446,Clear,25.85,1013.5,5.66,0.0,1420142400,231.0,0.0,9.51,0.0
30.69,clear-day,0.4,9.403,Clear,25.73,1013.5,4.79,0.0,1420146000,229.0,0.0,8.96,0.0
29.15,clear-night,0.43,9.362,Clear,29.15,1013.5,2.1,0.0,1420149600,222.0,0.0,9.17,0.0
27.79,clear-night,0.46,9.333,Clear,27.79,1013.3,1.53,0.0,1420153200,219.0,0.0,9.58,0.0
26.25,clear-night,0.48,9.308,Clear,26.25,1013.8,2.33,0.0,1420156800,222.0,0.0,9.26,0.0
25.9,clear-night,0.52,9.303,Clear,25.9,1013.5,2.69,0.0,1420160400,214.0,0.0,10.49,0.0
26.67,clear-night,0.53,8.756,Clear,23.22,1013.0,3.05,0.0,1420164000,210.0,0.0,11.77,0.0
26.01,clear-night,0.55,9.293,Clear,26.01,1013.4,2.86,0.0,1420167600,216.0,0.0,11.86,0.0
27.8,clear-night,0.54,9.098,Clear,22.83,1013.7,4.34,0.16,1420171200,223.0,0.0,13.44,0.0
27.66,cloudy,0.55,9.084,Overcast,23.54,1014.0,3.61,1.0,1420174800,225.0,0.0,13.65,0.0
27.64,partly-cloudy-night,0.56,9.103,Mostly Cloudy,27.64,1014.4,2.2,0.75,1420178400,227.0,0.0,13.95,0.0
26.64,clear-night,0.58,9.1,Clear,26.64,1014.1,1.87,0.07,1420182000,224.0,0.0,13.95,0.0
26.41,partly-cloudy-night,0.58,9.131,Partly Cloudy,26.41,1014.9,2.61,0.54,1420185600,221.0,0.0,13.74,0.0
26.56,partly-cloudy-night,0.6,9.16,Mostly Cloudy,26.56,1015.0,2.92,0.84,1420189200,221.0,0.0,14.42,0.0
29.71,cloudy,0.58,9.435,Overcast,26.52,1015.4,3.14,1.0,1420192800,226.0,0.0,16.56,0.0
30.6,cloudy,0.57,9.415,Overcast,27.41,1016.2,3.23,1.0,1420196400,221.0,0.0,17.17,0.0
30.58,cloudy,0.57,9.386,Overcast,30.58,1017.5,2.02,1.0,1420200000,227.0,0.0,17.31,0.0
30.07,partly-cloudy-day,0.6,9.393,Mostly Cloudy,30.07,1018.6,1.79,0.77,1420203600,221.0,0.0,17.7,0.0
32.39,cloudy,0.58,9.447,Overcast,28.46,1019.5,4.06,1.0,1420207200,224.0,0.0,19.13,0.0
34.89,partly-cloudy-day,0.56,9.344,Partly Cloudy,31.62,1020.1,3.81,0.46,1420210800,238.0,0.0,20.59,0.0
36.86,cloudy,0.52,9.162,Overcast,33.55,1020.0,4.14,0.88,1420214400,271.0,0.0,20.86,0.0
37.09,cloudy,0.49,9.589,Overcast,33.51,1019.6,4.47,1.0,1420218000,294.0,0.0,19.88,0.0
36.73,partly-cloudy-day,0.53,9.547,Mostly Cloudy,31.96,1020.3,5.87,0.73,1420221600,287.0,0.0,21.02,0.0
36.14,partly-cloudy-day,0.51,9.483,Partly Cloudy,32.11,1021.2,4.81,0.52,1420225200,297.0,0.0,19.84,0.0
35.32,clear-day,0.5,9.483,Clear,30.94,1022.0,5.04,0.25,1420228800,294.0,0.0,18.7,0.0
34.41,partly-cloudy-day,0.51,9.414,Mostly Cloudy,30.24,1023.0,4.62,0.6,1420232400,311.0,0.0,17.95,0.0
32.31,clear-night,0.56,9.411,Clear,32.31,1024.2,2.35,0.21,1420236000,293.0,0.0,18.17,0.0
30.7,clear-night,0.59,9.422,Clear,30.7,1025.3,2.22,0.12,1420239600,287.0,0.0,18.0,0.0
29.69,partly-cloudy-night,0.61,9.41,Partly Cloudy,29.69,1026.6,1.41,0.57,1420243200,280.0,0.0,17.87,0.0
30.38,partly-cloudy-night,0.58,9.388,Mostly Cloudy,30.38,1027.7,2.95,0.75,1420246800,288.0,0.0,17.47,0.0
30.49,partly-cloudy-night,0.56,9.392,Mostly Cloudy,30.49,1028.9,2.7,0.87,1420250400,297.0,0.0,16.46,0.0
30.38,cloudy,0.55,9.38,Overcast,26.84,1029.9,3.47,0.93,1420254000,291.0,0.0,16.01,0.0
29.77,cloudy,0.56,9.369,Overcast,29.77,1031.1,1.38,1.0,1420257600,296.0,0.0,15.93,0.0
28.05,partly-cloudy-night,0.57,9.354,Partly Cloudy,28.05,1031.5,1.21,0.32,1420261200,311.0,0.0,14.76,0.0
26.73,clear-night,0.6,9.341,Clear,26.73,1032.7,0.75,0.19,1420264800,312.0,0.0,14.87,0.0
24.88,clear-night,0.65,9.311,Clear,24.88,1033.2,0.49,0.0,1420268400,318.0,0.0,14.72,0.0
23.77,clear-night,0.68,9.31,Clear,23.77,1033.8,0.45,0.14,1420272000,318.0,0.0,14.76,0.0
22.6,clear-night,0.7,9.301,Clear,22.6,1034.1,0.31,0.0,1420275600,3.0,0.0,14.41,0.0
21.42,clear-night,0.72,9.293,Clear,21.42,1034.7,0.38,0.0,1420279200,24.0,0.0,13.78,0.0
21.38,clear-night,0.73,9.285,Clear,21.38,1035.7,0.28,0.0,1420282800,40.0,0.0,14.16,0.0
21.05,clear-night,0.74,9.286,Clear,21.05,1036.6,0.23,0.0,1420286400,68.0,0.0,13.94,0.0
20.25,clear-day,0.75,9.275,Clear,20.25,1037.5,0.27,0.0,1420290000,48.0,0.0,13.54,0.0
22.68,clear-day,0.71,9.31,Clear,22.68,1037.5,0.47,0.0,1420293600,112.0,0.0,14.77,0.0
25.89,partly-cloudy-day,0.61,9.345,Partly Cloudy,25.89,1037.6,2.22,0.36,1420297200,119.0,0.0,14.18,0.0
27.65,partly-cloudy-day,0.55,9.366,Partly Cloudy,27.65,1037.5,1.09,0.36,1420300800,98.0,0.0,13.73,0.0
28.75,partly-cloudy-day,0.53,9.369,Partly Cloudy,28.75,1036.6,0.76,0.57,1420304400,130.0,0.0,13.82,0.0
29.72,partly-cloudy-day,0.51,9.382,Partly Cloudy,29.72,1036.0,1.15,0.54,1420308000,119.0,0.0,13.68,0.0
30.06,partly-cloudy-day,0.5,9.383,Partly Cloudy,30.06,1035.4,2.16,0.52,1420311600,85.0,0.0,13.56,0.0
