"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190317_20190331.csv"
"C","Report for: 03/17/2019 - 03/31/2019"
"C","Report generated: 06/18/2021 12:13:47 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","03/17/2019","01",11279.64
"D","03/17/2019","02",10988.96
"D","03/17/2019","03",11036.27
"D","03/17/2019","04",10960.12
"D","03/17/2019","05",10877.78
"D","03/17/2019","06",11139.26
"D","03/17/2019","07",11552.38
"D","03/17/2019","08",11941.68
"D","03/17/2019","09",12196.26
"D","03/17/2019","10",12186.6
"D","03/17/2019","11",12084.65
"D","03/17/2019","12",11888.52
"D","03/17/2019","13",11601.35
"D","03/17/2019","14",11396.59
"D","03/17/2019","15",11257.54
"D","03/17/2019","16",11079.73
"D","03/17/2019","17",11674.68
"D","03/17/2019","18",12714.07
"D","03/17/2019","19",13707.75
"D","03/17/2019","20",14530.76
"D","03/17/2019","21",14366.18
"D","03/17/2019","22",13645.09
"D","03/17/2019","23",12670.1
"D","03/17/2019","24",12069.89
"D","03/18/2019","01",11787.85
"D","03/18/2019","02",11787.68
"D","03/18/2019","03",11486.92
"D","03/18/2019","04",11597.59
"D","03/18/2019","05",12025.85
"D","03/18/2019","06",12615.47
"D","03/18/2019","07",14384.58
"D","03/18/2019","08",15299.54
"D","03/18/2019","09",14726.31
"D","03/18/2019","10",13740.99
"D","03/18/2019","11",13128.93
"D","03/18/2019","12",12788.36
"D","03/18/2019","13",12484.16
"D","03/18/2019","14",12664.98
"D","03/18/2019","15",12773.91
"D","03/18/2019","16",12948.4
"D","03/18/2019","17",13293.11
"D","03/18/2019","18",13894.94
"D","03/18/2019","19",14817.44
"D","03/18/2019","20",15515.82
"D","03/18/2019","21",15201.01
"D","03/18/2019","22",14313.77
"D","03/18/2019","23",13154.77
"D","03/18/2019","24",12134.89
"D","03/19/2019","01",11655.62
"D","03/19/2019","02",11731.14
"D","03/19/2019","03",11884.94
"D","03/19/2019","04",12037.41
"D","03/19/2019","05",12194.08
"D","03/19/2019","06",12726.83
"D","03/19/2019","07",14520.09
"D","03/19/2019","08",15317.14
"D","03/19/2019","09",14640.64
"D","03/19/2019","10",13628.93
"D","03/19/2019","11",12967.79
"D","03/19/2019","12",12691.88
"D","03/19/2019","13",12550.31
"D","03/19/2019","14",12755.7
"D","03/19/2019","15",13041.63
"D","03/19/2019","16",13105.79
"D","03/19/2019","17",13487.2
"D","03/19/2019","18",13904.21
"D","03/19/2019","19",14696.74
"D","03/19/2019","20",15325.36
"D","03/19/2019","21",15061.32
"D","03/19/2019","22",14237.6
"D","03/19/2019","23",13101.4
"D","03/19/2019","24",12147.34
"D","03/20/2019","01",11998.98
"D","03/20/2019","02",12097.8
"D","03/20/2019","03",12208.68
"D","03/20/2019","04",12250.66
"D","03/20/2019","05",12345.11
"D","03/20/2019","06",12715.98
"D","03/20/2019","07",14498.91
"D","03/20/2019","08",15299.72
"D","03/20/2019","09",14622.95
"D","03/20/2019","10",13548.99
"D","03/20/2019","11",12728.33
"D","03/20/2019","12",12220.57
"D","03/20/2019","13",12138.06
"D","03/20/2019","14",12146.24
"D","03/20/2019","15",12043.59
"D","03/20/2019","16",12250.51
"D","03/20/2019","17",12771.58
"D","03/20/2019","18",13284.45
"D","03/20/2019","19",14161.09
"D","03/20/2019","20",14867.88
"D","03/20/2019","21",14599.2
"D","03/20/2019","22",13772.04
"D","03/20/2019","23",12626.83
"D","03/20/2019","24",11653.58
"D","03/21/2019","01",11568.98
"D","03/21/2019","02",11709.2
"D","03/21/2019","03",11617.66
"D","03/21/2019","04",11638.86
"D","03/21/2019","05",11984.14
"D","03/21/2019","06",12433.22
"D","03/21/2019","07",13612.32
"D","03/21/2019","08",14466.17
"D","03/21/2019","09",14235.97
"D","03/21/2019","10",13859.76
"D","03/21/2019","11",13750.78
"D","03/21/2019","12",13495.5
"D","03/21/2019","13",13390.66
"D","03/21/2019","14",13215.91
"D","03/21/2019","15",13309.41
"D","03/21/2019","16",13561.27
"D","03/21/2019","17",13858.19
"D","03/21/2019","18",14371.9
"D","03/21/2019","19",14739.12
"D","03/21/2019","20",15014.42
"D","03/21/2019","21",14611.4
"D","03/21/2019","22",13745.61
"D","03/21/2019","23",12586.56
"D","03/21/2019","24",11499.23
"D","03/22/2019","01",11070.48
"D","03/22/2019","02",10741.54
"D","03/22/2019","03",10576.98
"D","03/22/2019","04",10542.85
"D","03/22/2019","05",10863.06
"D","03/22/2019","06",11564.57
"D","03/22/2019","07",13207.35
"D","03/22/2019","08",14334.75
"D","03/22/2019","09",14700.01
"D","03/22/2019","10",14861.72
"D","03/22/2019","11",14930.17
"D","03/22/2019","12",14889.96
"D","03/22/2019","13",14695.46
"D","03/22/2019","14",14497.13
"D","03/22/2019","15",14178.87
"D","03/22/2019","16",13966.02
"D","03/22/2019","17",14117.3
"D","03/22/2019","18",14435.88
"D","03/22/2019","19",14597.67
"D","03/22/2019","20",14813.29
"D","03/22/2019","21",14429.37
"D","03/22/2019","22",13721.1
"D","03/22/2019","23",12929.71
"D","03/22/2019","24",12077.86
"D","03/23/2019","01",11669.21
"D","03/23/2019","02",11350.92
"D","03/23/2019","03",11204.37
"D","03/23/2019","04",11275.06
"D","03/23/2019","05",11519.73
"D","03/23/2019","06",11729.68
"D","03/23/2019","07",12058.03
"D","03/23/2019","08",12706.75
"D","03/23/2019","09",13397.23
"D","03/23/2019","10",13318.05
"D","03/23/2019","11",12702.46
"D","03/23/2019","12",12282.36
"D","03/23/2019","13",12149.78
"D","03/23/2019","14",11685.11
"D","03/23/2019","15",11435.7
"D","03/23/2019","16",11551.96
"D","03/23/2019","17",11747.01
"D","03/23/2019","18",12357.26
"D","03/23/2019","19",13202.67
"D","03/23/2019","20",13875.83
"D","03/23/2019","21",13798.96
"D","03/23/2019","22",13321.7
"D","03/23/2019","23",12613.15
"D","03/23/2019","24",11823.4
"D","03/24/2019","01",11515.68
"D","03/24/2019","02",11821.73
"D","03/24/2019","03",11811.13
"D","03/24/2019","04",11743.13
"D","03/24/2019","05",11814.6
"D","03/24/2019","06",11935.57
"D","03/24/2019","07",11860.69
"D","03/24/2019","08",11926.69
"D","03/24/2019","09",11847.54
"D","03/24/2019","10",11530.02
"D","03/24/2019","11",11257.3
"D","03/24/2019","12",10812.29
"D","03/24/2019","13",10711.9
"D","03/24/2019","14",10423.12
"D","03/24/2019","15",10297.6
"D","03/24/2019","16",11316.85
"D","03/24/2019","17",12040.46
"D","03/24/2019","18",12603.0
"D","03/24/2019","19",13164.14
"D","03/24/2019","20",13747.4
"D","03/24/2019","21",13496.85
"D","03/24/2019","22",12681.26
"D","03/24/2019","23",11642.18
"D","03/24/2019","24",10900.23
"D","03/25/2019","01",10133.43
"D","03/25/2019","02",9801.58
"D","03/25/2019","03",9689.93
"D","03/25/2019","04",9742.25
"D","03/25/2019","05",10355.0
"D","03/25/2019","06",11203.68
"D","03/25/2019","07",12932.55
"D","03/25/2019","08",13898.66
"D","03/25/2019","09",13897.16
"D","03/25/2019","10",13427.88
"D","03/25/2019","11",12864.32
"D","03/25/2019","12",12442.36
"D","03/25/2019","13",12237.68
"D","03/25/2019","14",11999.33
"D","03/25/2019","15",11763.04
"D","03/25/2019","16",12036.29
"D","03/25/2019","17",12609.1
"D","03/25/2019","18",13392.6
"D","03/25/2019","19",14196.94
"D","03/25/2019","20",14785.86
"D","03/25/2019","21",14529.86
"D","03/25/2019","22",13654.78
"D","03/25/2019","23",12525.49
"D","03/25/2019","24",11770.74
"D","03/26/2019","01",11210.45
"D","03/26/2019","02",10955.02
"D","03/26/2019","03",10871.62
"D","03/26/2019","04",10985.13
"D","03/26/2019","05",11412.73
"D","03/26/2019","06",12408.89
"D","03/26/2019","07",13993.02
"D","03/26/2019","08",14679.94
"D","03/26/2019","09",14007.17
"D","03/26/2019","10",13085.85
"D","03/26/2019","11",12489.13
"D","03/26/2019","12",12103.42
"D","03/26/2019","13",11776.28
"D","03/26/2019","14",11592.05
"D","03/26/2019","15",11408.08
"D","03/26/2019","16",11575.58
"D","03/26/2019","17",12416.33
"D","03/26/2019","18",13259.52
"D","03/26/2019","19",14234.39
"D","03/26/2019","20",14994.28
"D","03/26/2019","21",14846.63
"D","03/26/2019","22",14029.02
"D","03/26/2019","23",12897.34
"D","03/26/2019","24",11922.09
"D","03/27/2019","01",11578.83
"D","03/27/2019","02",11324.07
"D","03/27/2019","03",11223.39
"D","03/27/2019","04",11277.9
"D","03/27/2019","05",11636.99
"D","03/27/2019","06",12489.68
"D","03/27/2019","07",14232.4
"D","03/27/2019","08",14933.97
"D","03/27/2019","09",14168.43
"D","03/27/2019","10",13210.15
"D","03/27/2019","11",12533.78
"D","03/27/2019","12",12083.45
"D","03/27/2019","13",11895.54
"D","03/27/2019","14",11898.35
"D","03/27/2019","15",11968.22
"D","03/27/2019","16",11944.44
"D","03/27/2019","17",12535.87
"D","03/27/2019","18",13249.92
"D","03/27/2019","19",14091.36
"D","03/27/2019","20",14861.36
"D","03/27/2019","21",14830.33
