"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190730_20190813.csv"
"C","Report for: 07/30/2019 - 08/13/2019"
"C","Report generated: 06/18/2021 12:15:15 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","07/30/2019","01",16619.16
"D","07/30/2019","02",16292.81
"D","07/30/2019","03",15926.42
"D","07/30/2019","04",15576.26
"D","07/30/2019","05",15594.62
"D","07/30/2019","06",15853.84
"D","07/30/2019","07",16784.46
"D","07/30/2019","08",18207.7
"D","07/30/2019","09",18752.77
"D","07/30/2019","10",19277.8
"D","07/30/2019","11",20317.45
"D","07/30/2019","12",21388.78
"D","07/30/2019","13",22288.78
"D","07/30/2019","14",23017.57
"D","07/30/2019","15",23327.56
"D","07/30/2019","16",23406.96
"D","07/30/2019","17",23768.7
"D","07/30/2019","18",23972.73
"D","07/30/2019","19",23850.65
"D","07/30/2019","20",23292.62
"D","07/30/2019","21",22621.15
"D","07/30/2019","22",21350.7
"D","07/30/2019","23",19464.01
"D","07/30/2019","24",17682.6
"D","07/31/2019","01",16650.47
"D","07/31/2019","02",16634.53
"D","07/31/2019","03",16036.91
"D","07/31/2019","04",15882.98
"D","07/31/2019","05",15863.74
"D","07/31/2019","06",16137.92
"D","07/31/2019","07",16745.44
"D","07/31/2019","08",17818.9
"D","07/31/2019","09",18311.32
"D","07/31/2019","10",19163.94
"D","07/31/2019","11",20126.21
"D","07/31/2019","12",20938.33
"D","07/31/2019","13",21731.99
"D","07/31/2019","14",22449.81
"D","07/31/2019","15",22626.15
"D","07/31/2019","16",22343.68
"D","07/31/2019","17",21226.31
"D","07/31/2019","18",20712.7
"D","07/31/2019","19",20214.32
"D","07/31/2019","20",19647.66
"D","07/31/2019","21",19250.86
"D","07/31/2019","22",18320.12
"D","07/31/2019","23",16977.67
"D","07/31/2019","24",15615.63
"D","08/01/2019","01",14754.28
"D","08/01/2019","02",14582.54
"D","08/01/2019","03",14145.16
"D","08/01/2019","04",13782.52
