temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
7.56,partly-cloudy-night,0.76,6.216,Partly Cloudy,4.54,997.3,11.13,0.42,1514764800,253.0,0.0188,3.67,0.06
7.29,clear-night,0.77,6.216,Clear,4.47,998.3,9.87,0.26,1514768400,256.0,0.0,3.48,0.0
6.58,clear-night,0.78,6.216,Clear,3.83,999.4,8.8,0.22,1514772000,250.0,0.0,3.08,0.0
6.36,clear-night,0.77,6.216,Clear,3.71,999.5,8.21,0.1,1514775600,250.0,0.0,2.58,0.0
6.12,clear-night,0.79,6.216,Clear,3.64,999.6,7.4,0.29,1514779200,229.0,0.0,2.74,0.0
5.97,partly-cloudy-night,0.79,6.216,Partly Cloudy,3.61,999.4,6.89,0.49,1514782800,238.0,0.0091,2.57,0.05
6.01,clear-night,0.79,6.216,Clear,3.9,998.8,6.16,0.29,1514786400,228.0,0.0,2.58,0.0
6.08,clear-night,0.79,6.216,Clear,4.34,998.4,5.18,0.23,1514790000,212.0,0.0,2.78,0.0
6.09,clear-night,0.81,6.216,Clear,4.25,997.5,5.44,0.22,1514793600,211.0,0.0,3.0,0.0
6.09,clear-day,0.81,6.216,Clear,5.3,996.7,3.15,0.19,1514797200,195.0,0.0,3.15,0.0
6.8,partly-cloudy-day,0.8,6.216,Partly Cloudy,6.8,996.0,2.48,0.52,1514800800,161.0,0.0251,3.65,0.05
7.22,partly-cloudy-day,0.82,6.069,Partly Cloudy,7.22,995.4,2.77,0.57,1514804400,173.0,0.0335,4.38,0.12
7.66,cloudy,0.84,5.956,Overcast,7.66,995.3,0.56,0.91,1514808000,227.0,0.0628,5.1,0.15
7.79,rain,0.84,6.016,Possible Drizzle,5.96,995.6,6.38,0.78,1514811600,255.0,0.1284,5.31,0.29
7.87,partly-cloudy-day,0.78,6.216,Mostly Cloudy,5.51,995.7,8.41,0.87,1514815200,289.0,0.1388,4.28,0.23
7.55,partly-cloudy-day,0.78,6.216,Partly Cloudy,4.63,997.0,10.63,0.54,1514818800,294.0,0.0356,4.03,0.19
7.08,partly-cloudy-night,0.78,6.216,Partly Cloudy,4.58,998.1,8.23,0.47,1514822400,284.0,0.0128,3.58,0.07
7.05,partly-cloudy-night,0.79,6.216,Mostly Cloudy,4.6,999.3,8.02,0.66,1514826000,265.0,0.0,3.57,0.0
6.87,partly-cloudy-night,0.78,6.216,Partly Cloudy,4.6,1000.4,7.24,0.53,1514829600,262.0,0.0,3.37,0.0
7.42,partly-cloudy-night,0.74,6.216,Partly Cloudy,4.61,1001.7,9.92,0.41,1514833200,259.0,0.0,3.11,0.0
7.52,clear-night,0.71,6.216,Clear,4.54,1003.1,10.92,0.29,1514836800,283.0,0.0,2.51,0.0
8.03,partly-cloudy-night,0.69,6.216,Mostly Cloudy,5.1,1004.6,11.27,0.73,1514840400,279.0,0.0,2.67,0.0
7.58,partly-cloudy-night,0.7,6.216,Mostly Cloudy,4.48,1006.1,11.64,0.83,1514844000,285.0,0.009,2.39,0.05
7.32,partly-cloudy-night,0.7,6.216,Partly Cloudy,4.78,1007.4,8.65,0.47,1514847600,287.0,0.0,2.25,0.0
6.68,clear-night,0.72,6.216,Clear,4.02,1009.0,8.58,0.07,1514851200,289.0,0.0,2.02,0.0
6.1,clear-night,0.75,6.216,Clear,3.52,1009.8,7.73,0.0,1514854800,268.0,0.0,2.06,0.0
5.88,clear-night,0.77,6.216,Clear,3.58,1010.5,6.66,0.0,1514858400,256.0,0.0,2.23,0.0
5.37,clear-night,0.8,6.216,Clear,3.11,1010.8,6.23,0.0,1514862000,263.0,0.0,2.19,0.0
5.06,clear-night,0.8,6.216,Clear,2.26,1011.4,7.76,0.04,1514865600,258.0,0.0,1.82,0.0
4.83,clear-night,0.81,6.216,Clear,2.97,1011.4,4.95,0.1,1514869200,263.0,0.0,1.81,0.0
4.4,clear-night,0.83,6.214,Clear,2.34,1012.0,5.22,0.17,1514872800,261.0,0.0,1.77,0.0
4.48,clear-night,0.84,6.216,Clear,2.97,1011.7,4.04,0.22,1514876400,215.0,0.0,1.94,0.0
5.19,clear-night,0.81,6.216,Clear,4.02,1010.9,3.61,0.22,1514880000,192.0,0.0,2.21,0.0
5.43,clear-day,0.81,6.216,Clear,5.43,1011.0,2.59,0.22,1514883600,180.0,0.0,2.36,0.0
6.21,clear-day,0.8,6.189,Clear,5.34,1009.9,3.33,0.25,1514887200,182.0,0.0,3.08,0.0
6.43,rain,0.89,4.189,Possible Light Rain,5.19,1009.1,4.11,0.8,1514890800,179.0,0.2942,4.69,0.57
7.3,rain,0.95,4.843,Rain,5.28,1006.8,6.66,0.91,1514894400,173.0,1.1967,6.49,0.63
8.38,rain,0.94,4.336,Possible Light Rain,6.41,1005.0,7.27,0.79,1514898000,185.0,0.4202,7.39,0.59
9.12,rain,0.91,4.306,Possible Drizzle,6.99,1003.3,8.64,0.95,1514901600,191.0,0.1184,7.79,0.44
9.79,rain,0.92,6.095,Possible Drizzle,8.02,1002.8,7.7,0.87,1514905200,220.0,0.0879,8.55,0.43
10.13,partly-cloudy-night,0.91,6.216,Mostly Cloudy,10.13,1002.7,6.51,0.75,1514908800,239.0,0.0066,8.76,0.08
10.4,partly-cloudy-night,0.88,5.89,Partly Cloudy,10.4,1002.2,6.09,0.5,1514912400,234.0,0.0,8.53,0.0
10.44,partly-cloudy-night,0.85,5.331,Partly Cloudy,10.44,1001.5,7.01,0.49,1514916000,242.0,0.0,8.06,0.0
10.36,rain,0.88,4.95,Possible Drizzle,10.36,999.6,8.04,0.26,1514919600,212.0,0.0926,8.44,0.38
10.39,rain,0.85,4.192,Possible Drizzle,10.39,998.1,10.63,0.55,1514923200,213.0,0.1064,7.99,0.46
10.16,rain,0.92,2.809,Light Rain,10.16,995.0,11.64,0.72,1514926800,212.0,0.5844,8.85,0.67
11.16,rain,0.93,3.435,Possible Light Rain,11.16,992.1,12.51,0.8,1514930400,224.0,0.4481,10.06,0.62
12.28,rain,0.91,4.01,Possible Light Rain,12.28,989.4,11.61,0.93,1514934000,221.0,0.3185,10.78,0.53
11.64,rain,0.81,6.011,Rain,11.64,988.6,13.53,0.75,1514937600,259.0,1.4664,8.45,0.7
10.51,rain,0.75,6.216,Possible Light Rain,10.51,989.6,13.74,0.12,1514941200,264.0,0.8164,6.34,0.59
10.04,partly-cloudy-night,0.74,6.189,Partly Cloudy,10.04,989.0,13.43,0.46,1514944800,259.0,0.0748,5.61,0.23
7.91,rain,0.74,2.531,Possible Drizzle,4.03,989.0,17.29,0.47,1514948400,273.0,0.1276,3.48,0.33
8.53,rain,0.64,6.216,Possible Light Rain,5.4,989.4,13.27,0.54,1514952000,264.0,0.815,2.15,0.43
8.29,rain,0.63,6.216,Possible Drizzle,4.79,989.6,15.31,0.39,1514955600,271.0,0.0364,1.56,0.37
7.97,partly-cloudy-night,0.65,6.214,Mostly Cloudy,4.38,990.9,15.28,0.73,1514959200,275.0,0.0925,1.81,0.15
8.06,partly-cloudy-night,0.64,6.216,Partly Cloudy,4.74,992.3,13.67,0.59,1514962800,272.0,0.0573,1.73,0.07
8.33,partly-cloudy-night,0.65,6.216,Mostly Cloudy,4.98,993.6,14.39,0.69,1514966400,263.0,0.0,2.12,0.0
8.44,partly-cloudy-day,0.67,6.216,Mostly Cloudy,5.05,995.2,14.79,0.75,1514970000,273.0,0.0,2.66,0.0
8.87,partly-cloudy-day,0.64,6.216,Mostly Cloudy,5.73,996.6,13.97,0.78,1514973600,264.0,0.0,2.48,0.0
9.59,partly-cloudy-day,0.64,6.216,Mostly Cloudy,6.57,997.5,14.46,0.84,1514977200,266.0,0.0,3.16,0.0
10.16,partly-cloudy-day,0.62,6.189,Mostly Cloudy,10.16,998.3,14.92,0.76,1514980800,275.0,0.0,3.31,0.0
