"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20180531_20180614.csv"
"C","Report for: 05/31/2018 - 06/14/2018"
"C","Report generated: 06/18/2021 14:06:27 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/31/2018","01",11311.91
"D","05/31/2018","02",11144.2
"D","05/31/2018","03",11154.72
"D","05/31/2018","04",11007.11
"D","05/31/2018","05",11115.71
"D","05/31/2018","06",11267.05
"D","05/31/2018","07",12385.64
"D","05/31/2018","08",12948.44
"D","05/31/2018","09",13113.46
"D","05/31/2018","10",13276.53
"D","05/31/2018","11",13527.05
"D","05/31/2018","12",13837.08
"D","05/31/2018","13",14132.54
"D","05/31/2018","14",14558.9
"D","05/31/2018","15",14934.3
"D","05/31/2018","16",15401.81
"D","05/31/2018","17",15837.48
"D","05/31/2018","18",16062.58
"D","05/31/2018","19",16056.06
"D","05/31/2018","20",15898.46
"D","05/31/2018","21",15841.18
"D","05/31/2018","22",15277.56
"D","05/31/2018","23",15119.4
"D","05/31/2018","24",15119.4
"D","06/01/2018","01",14101.7
"D","06/01/2018","02",11717.66
"D","06/01/2018","03",11294.12
"D","06/01/2018","04",10983.82
"D","06/01/2018","05",11206.72
"D","06/01/2018","06",11897.74
"D","06/01/2018","07",13051.54
"D","06/01/2018","08",14103.57
"D","06/01/2018","09",14726.82
"D","06/01/2018","10",15208.51
"D","06/01/2018","11",15588.64
"D","06/01/2018","12",15910.45
"D","06/01/2018","13",16088.06
"D","06/01/2018","14",16261.19
"D","06/01/2018","15",16390.48
"D","06/01/2018","16",16490.15
"D","06/01/2018","17",16758.9
"D","06/01/2018","18",17011.4
"D","06/01/2018","19",16980.25
"D","06/01/2018","20",16779.96
"D","06/01/2018","21",16761.57
"D","06/01/2018","22",16186.86
"D","06/01/2018","23",14913.44
"D","06/01/2018","24",13532.59
"D","06/02/2018","01",12460.97
"D","06/02/2018","02",11768.3
"D","06/02/2018","03",11611.62
"D","06/02/2018","04",11382.33
"D","06/02/2018","05",11335.91
"D","06/02/2018","06",11730.42
"D","06/02/2018","07",12333.19
"D","06/02/2018","08",13178.76
"D","06/02/2018","09",13846.71
"D","06/02/2018","10",14743.63
"D","06/02/2018","11",15539.42
"D","06/02/2018","12",15905.54
"D","06/02/2018","13",15962.5
"D","06/02/2018","14",16051.16
"D","06/02/2018","15",16111.85
"D","06/02/2018","16",16275.42
"D","06/02/2018","17",16453.56
"D","06/02/2018","18",16508.4
"D","06/02/2018","19",16411.59
"D","06/02/2018","20",15943.36
"D","06/02/2018","21",15577.03
"D","06/02/2018","22",14935.32
"D","06/02/2018","23",13745.15
"D","06/02/2018","24",12656.06
"D","06/03/2018","01",11817.98
"D","06/03/2018","02",11058.3
"D","06/03/2018","03",10574.67
"D","06/03/2018","04",10269.59
"D","06/03/2018","05",10190.25
"D","06/03/2018","06",10224.88
"D","06/03/2018","07",10491.16
"D","06/03/2018","08",10907.68
"D","06/03/2018","09",11588.62
"D","06/03/2018","10",11400.53
"D","06/03/2018","11",11244.37
"D","06/03/2018","12",11177.03
"D","06/03/2018","13",11102.45
"D","06/03/2018","14",11051.7
"D","06/03/2018","15",11131.0
"D","06/03/2018","16",11395.52
"D","06/03/2018","17",11769.66
"D","06/03/2018","18",12517.35
"D","06/03/2018","19",12904.84
"D","06/03/2018","20",12953.29
"D","06/03/2018","21",13056.25
"D","06/03/2018","22",12550.52
"D","06/03/2018","23",11418.46
"D","06/03/2018","24",10829.77
"D","06/04/2018","01",9901.29
"D","06/04/2018","02",9733.25
"D","06/04/2018","03",9550.05
"D","06/04/2018","04",9521.09
"D","06/04/2018","05",9809.66
"D","06/04/2018","06",10609.62
"D","06/04/2018","07",11833.66
"D","06/04/2018","08",12775.8
"D","06/04/2018","09",13318.66
"D","06/04/2018","10",13615.9
"D","06/04/2018","11",13813.55
"D","06/04/2018","12",13761.48
"D","06/04/2018","13",13591.43
"D","06/04/2018","14",13606.22
"D","06/04/2018","15",13556.15
"D","06/04/2018","16",13489.32
"D","06/04/2018","17",13581.29
"D","06/04/2018","18",13894.57
"D","06/04/2018","19",13967.81
"D","06/04/2018","20",13858.52
"D","06/04/2018","21",13750.66
"D","06/04/2018","22",13011.85
"D","06/04/2018","23",11752.34
"D","06/04/2018","24",10608.24
"D","06/05/2018","01",9850.23
"D","06/05/2018","02",9642.04
"D","06/05/2018","03",9704.26
"D","06/05/2018","04",9963.1
"D","06/05/2018","05",9965.55
